Example Pathway




--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY	WIDTH	HEIGHT--
TP53	d9af5f0f-f117-4ac9-b97d-4f35b88b8926	GENE	-1	439	9	150	52
	d20379fc-080d-479d-bfba-24292dea83e0	FAMILY	-1	439	157	239	114
	e1e85a28-0ff4-40f3-b89f-86557775ffb5	COMPLEX	-1	938	157	336	159
MDM4	cfc3ef52-81ec-4548-872b-84053ca1bd71	GENE	d20379fc-080d-479d-bfba-24292dea83e0	561	157	150	52
MDM2	2fc0329a-12cc-4d65-af97-b22c38734e97	GENE	d20379fc-080d-479d-bfba-24292dea83e0	316	157	150	52
ATM	bfb894b8-a49b-43e4-a74d-31c958b0046d	FAMILY	e1e85a28-0ff4-40f3-b89f-86557775ffb5	867	123	150	52
CDKN2A	59aa9915-8187-4134-9b09-a4a61d3bae8d	GENE	e1e85a28-0ff4-40f3-b89f-86557775ffb5	1010	192	150	52
RB1	4521d195-c967-4487-9ddd-7a9c9710edf4	COMPARTMENT	-1	938	430	150	52
Cell Cycle Progression	516e4d10-6297-4f0e-8bc1-ce88cb57fbaa	PROCESS	-1	439	430	189	35

--EDGE_ID	SOURCE	TARGET	EDGE_TYPE	INTERACTION_PUBMED_ID	EDGE_NAME	EDGE_BENDS	EDGE_CURVE_STYLE
902c4de3-1cf7-4af1-870d-f27c8d833bb6	d9af5f0f-f117-4ac9-b97d-4f35b88b8926	d20379fc-080d-479d-bfba-24292dea83e0	ACTIVATES				bezier
2d190612-0281-4de4-b0b3-704f4331898b	2fc0329a-12cc-4d65-af97-b22c38734e97	cfc3ef52-81ec-4548-872b-84053ca1bd71	INHIBITS				bezier
bcae6003-c2e3-4cff-b1f4-e1a599145c99	d20379fc-080d-479d-bfba-24292dea83e0	e1e85a28-0ff4-40f3-b89f-86557775ffb5	INDUCES				bezier
8a4a4fd2-295a-426c-aff6-8a6c20adb7a1	e1e85a28-0ff4-40f3-b89f-86557775ffb5	4521d195-c967-4487-9ddd-7a9c9710edf4	REPRESSES				bezier
ce3b9cae-8b58-47a3-97c3-003d09d1e858	4521d195-c967-4487-9ddd-7a9c9710edf4	516e4d10-6297-4f0e-8bc1-ce88cb57fbaa	BINDS				bezier
0902b5e0-eb06-4916-8d59-0457d3ea545a	516e4d10-6297-4f0e-8bc1-ce88cb57fbaa	d20379fc-080d-479d-bfba-24292dea83e0	REPRESSES				bezier
